product_name,brands,categories,ingredients_text_en,nutriscore_grade,nova_group,ecoscore_grade,quantity,serving_size,nutriments,nutrition_grades,countries_tags
Assaisonnement aromatisé au citron,Star,"Condiments,Sauces,Sauces salades",,a,,d,,,"{'carbohydrates': 0.1, 'carbohydrates_100g': 0.1, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0.1, 'energy': 4, 'energy-kcal': 1, 'energy-kcal_100g': 1, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 1, 'energy-kcal_value_computed': 0.4, 'energy_100g': 4, 'energy_unit': 'kcal', 'energy_value': 1, 'fat': 0, 'fat_100g': 0, 'fat_unit': 'g', 'fat_value': 0, 'fiber': 0, 'fiber_100g': 0, 'fiber_unit': 'g', 'fiber_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nutrition-score-fr': 0, 'nutrition-score-fr_100g': 0, 'proteins': 0, 'proteins_100g': 0, 'proteins_unit': 'g', 'proteins_value': 0, 'salt': 0, 'salt_100g': 0, 'salt_unit': 'g', 'salt_value': 0, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0, 'sodium_100g': 0, 'sodium_unit': 'g', 'sodium_value': 0, 'sugars': 0, 'sugars_100g': 0, 'sugars_unit': 'g', 'sugars_value': 0}",a,en:morocco
"Muesli Raisin, Figue, Abricot",Bjorg,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales aux fruits,Mueslis,Mueslis aux fruits",,a,3.0,a,375 g,60g,"{'carbohydrates': 59, 'carbohydrates_100g': 59, 'carbohydrates_serving': 35.4, 'carbohydrates_unit': 'g', 'carbohydrates_value': 59, 'carbon-footprint-from-known-ingredients_100g': 5.5, 'carbon-footprint-from-known-ingredients_product': 20.6, 'carbon-footprint-from-known-ingredients_serving': 3.3, 'energy': 1485, 'energy-kcal': 352, 'energy-kcal_100g': 352, 'energy-kcal_serving': 211, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 352, 'energy-kcal_value_computed': 352.2, 'energy-kj': 1485, 'energy-kj_100g': 1485, 'energy-kj_serving': 891, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1485, 'energy-kj_value_computed': 1484.6, 'energy_100g': 1485, 'energy_serving': 891, 'energy_unit': 'kJ', 'energy_value': 1485, 'fat': 5.8, 'fat_100g': 5.8, 'fat_serving': 3.48, 'fat_unit': 'g', 'fat_value': 5.8, 'fiber': 10, 'fiber_100g': 10, 'fiber_serving': 6, 'fiber_unit': 'g', 'fiber_value': 10, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 24.5, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 24.5, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 24.5, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 24.5, 'nova-group': 3, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nutrition-score-fr': -2, 'nutrition-score-fr_100g': -2, 'proteins': 11, 'proteins_100g': 11, 'proteins_serving': 6.6, 'proteins_unit': 'g', 'proteins_value': 11, 'salt': 0.03, 'salt_100g': 0.03, 'salt_serving': 0.018, 'salt_unit': 'g', 'salt_value': 0.03, 'saturated-fat': 0.9, 'saturated-fat_100g': 0.9, 'saturated-fat_serving': 0.54, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.9, 'sodium': 0.012, 'sodium_100g': 0.012, 'sodium_serving': 0.0072, 'sodium_unit': 'g', 'sodium_value': 0.012, 'sugars': 14, 'sugars_100g': 14, 'sugars_serving': 8.4, 'sugars_unit': 'g', 'sugars_value': 14}",a,"en:belgium, en:cote-d-ivoire, en:france, en:french-polynesia, en:guadeloupe, en:italy, en:martinique, en:morocco, en:new-caledonia, en:reunion, en:spain, en:switzerland"
Nesquik,Nestlé,"Beverages and beverages preparations,Beverages,Cocoa and its products,Beverage preparations,Cocoa and chocolate powders,Instant beverages,Cocoa powders,Cocoa powder for beverages with sugar fortified with vitamins,Instant chocolate powders","sugar, natural defatted cocoa powder 23%, emulsifier (soy lecithin), salt, vitamins (c, d), natural aroma, cinnamon,",d,4.0,c,390 g,,"{'calcium_label': 'Calcium', 'calcium_prepared': 0.118, 'calcium_prepared_100g': 0.118, 'calcium_prepared_unit': 'mg', 'calcium_prepared_value': 118, 'carbohydrates': 78.9, 'carbohydrates_100g': 78.9, 'carbohydrates_prepared': 9.8, 'carbohydrates_prepared_100g': 9.8, 'carbohydrates_prepared_unit': 'g', 'carbohydrates_prepared_value': 9.8, 'carbohydrates_unit': 'g', 'carbohydrates_value': 78.9, 'energy': 1634, 'energy-kcal': 386, 'energy-kcal_100g': 386, 'energy-kcal_prepared': 72, 'energy-kcal_prepared_100g': 72, 'energy-kcal_prepared_unit': 'kcal', 'energy-kcal_prepared_value': 72, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 386, 'energy-kcal_value_computed': 383.8, 'energy-kj': 1634, 'energy-kj_100g': 1634, 'energy-kj_prepared': 304, 'energy-kj_prepared_100g': 304, 'energy-kj_prepared_unit': 'kJ', 'energy-kj_prepared_value': 304, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1634, 'energy-kj_value_computed': 1622.8, 'energy_100g': 1634, 'energy_prepared': 304, 'energy_prepared_100g': 304, 'energy_prepared_unit': 'kJ', 'energy_prepared_value': 304, 'energy_unit': 'kJ', 'energy_value': 1634, 'fat': 3.6, 'fat_100g': 3.6, 'fat_prepared': 1.8, 'fat_prepared_100g': 1.8, 'fat_prepared_unit': 'g', 'fat_prepared_value': 1.8, 'fat_unit': 'g', 'fat_value': 3.6, 'fiber': 7.7, 'fiber_100g': 7.7, 'fiber_prepared': 0.5, 'fiber_prepared_100g': 0.5, 'fiber_prepared_modifier': '<', 'fiber_prepared_unit': 'g', 'fiber_prepared_value': 0.5, 'fiber_unit': 'g', 'fiber_value': 7.7, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 9, 'nutrition-score-fr_100g': 9, 'proteins': 5.1, 'proteins_100g': 5.1, 'proteins_prepared': 3.6, 'proteins_prepared_100g': 3.6, 'proteins_prepared_unit': 'g', 'proteins_prepared_value': 3.6, 'proteins_unit': 'g', 'proteins_value': 5.1, 'salt': 0.41, 'salt_100g': 0.41, 'salt_prepared': 0.14, 'salt_prepared_100g': 0.14, 'salt_prepared_unit': 'g', 'salt_prepared_value': 0.14, 'salt_unit': 'g', 'salt_value': 0.41, 'saturated-fat': 1.6, 'saturated-fat_100g': 1.6, 'saturated-fat_prepared': 1.1, 'saturated-fat_prepared_100g': 1.1, 'saturated-fat_prepared_unit': 'g', 'saturated-fat_prepared_value': 1.1, 'saturated-fat_unit': 'g', 'saturated-fat_value': 1.6, 'sodium': 0.164, 'sodium_100g': 0.164, 'sodium_prepared': 0.056, 'sodium_prepared_100g': 0.056, 'sodium_prepared_unit': 'g', 'sodium_prepared_value': 0.056, 'sodium_unit': 'g', 'sodium_value': 0.164, 'sugars': 75.1, 'sugars_100g': 75.1, 'sugars_prepared': 9.5, 'sugars_prepared_100g': 9.5, 'sugars_prepared_unit': 'g', 'sugars_prepared_value': 9.5, 'sugars_unit': 'g', 'sugars_value': 75.1, 'vitamin-c': 0.15, 'vitamin-c_100g': 0.15, 'vitamin-c_label': 'Vitamin C (ascorbic acid)', 'vitamin-c_prepared': 0.011, 'vitamin-c_prepared_100g': 0.011, 'vitamin-c_prepared_unit': 'mg', 'vitamin-c_prepared_value': 11, 'vitamin-c_unit': 'mg', 'vitamin-c_value': 150, 'vitamin-d': 1.1e-05, 'vitamin-d_100g': 1.1e-05, 'vitamin-d_label': 'Vitamin D', 'vitamin-d_prepared': 7.3e-07, 'vitamin-d_prepared_100g': 7.3e-07, 'vitamin-d_prepared_unit': 'µg', 'vitamin-d_prepared_value': 0.73, 'vitamin-d_unit': 'µg', 'vitamin-d_value': 11}",d,"en:france, en:morocco, en:spain"
Arome MAGGI,"Nestlé, Maggi","Condiments, Additifs alimentaires, Sauces, Arômes","flavors (wheat protein) water - salt - flavor enhancers : monosodium glutamate, inosinate disodium - sugar",not-applicable,4.0,unknown,200ml,,"{'alcohol': 0, 'alcohol_100g': 0, 'alcohol_serving': 0, 'alcohol_unit': '% vol', 'alcohol_value': 0, 'carbohydrates': 6.5, 'carbohydrates_100g': 6.5, 'carbohydrates_unit': 'g', 'carbohydrates_value': 6.5, 'energy': 292, 'energy-kcal': 69, 'energy-kcal_100g': 69, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 69, 'energy-kcal_value_computed': 70.7, 'energy-kj': 292, 'energy-kj_100g': 292, 'energy-kj_unit': 'kJ', 'energy-kj_value': 292, 'energy-kj_value_computed': 299.6, 'energy_100g': 292, 'energy_unit': 'kJ', 'energy_value': 292, 'fat': 0.5, 'fat_100g': 0.5, 'fat_unit': 'g', 'fat_value': 0.5, 'fiber': 0.5, 'fiber_100g': 0.5, 'fiber_unit': 'g', 'fiber_value': 0.5, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'proteins': 9.8, 'proteins_100g': 9.8, 'proteins_unit': 'g', 'proteins_value': 9.8, 'salt': 18.3, 'salt_100g': 18.3, 'salt_unit': 'g', 'salt_value': 18.3, 'saturated-fat': 0.1, 'saturated-fat_100g': 0.1, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.1, 'sodium': 7.32, 'sodium_100g': 7.32, 'sodium_unit': 'g', 'sodium_value': 7.32, 'sugars': 3.5, 'sugars_100g': 3.5, 'sugars_unit': 'g', 'sugars_value': 3.5}",not-applicable,"en:belgium, en:france, en:french-polynesia, en:germany, en:guadeloupe, en:new-caledonia, en:reunion, en:switzerland, en:belgique"
Levure rafiaa,,"Additifs alimentaires,Levures de bière",,not-applicable,4.0,d,,,"{'carbohydrates': 0, 'carbohydrates_100g': 0, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0, 'energy': 0, 'energy-kcal': 0, 'energy-kcal_100g': 0, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 0, 'energy-kcal_value_computed': 0, 'energy_100g': 0, 'energy_unit': 'kcal', 'energy_value': 0, 'fat': 0, 'fat_100g': 0, 'fat_unit': 'g', 'fat_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'proteins': 0, 'proteins_100g': 0, 'proteins_unit': 'g', 'proteins_value': 0, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sugars': 0, 'sugars_100g': 0, 'sugars_unit': 'g', 'sugars_value': 0}",not-applicable,en:morocco
Menguy's Peanut 100%,Menguy's,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Produits à tartiner,Pâtes à tartiner végétales,Purées d'oléagineux,Beurres de légumineuses,Beurres de cacahuètes,Cacahuètes,Fruits à coques et dérivés",,a,1.0,d,454 g,100 g,"{'carbohydrates': 13, 'carbohydrates_100g': 13, 'carbohydrates_serving': 13, 'carbohydrates_unit': 'g', 'carbohydrates_value': 13, 'energy': 2529, 'energy-kcal': 610, 'energy-kcal_100g': 610, 'energy-kcal_serving': 610, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 610, 'energy-kcal_value_computed': 610, 'energy-kj': 2529, 'energy-kj_100g': 2529, 'energy-kj_serving': 2530, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2529, 'energy-kj_value_computed': 2529, 'energy_100g': 2529, 'energy_serving': 2530, 'energy_unit': 'kJ', 'energy_value': 2529, 'fat': 48, 'fat_100g': 48, 'fat_serving': 48, 'fat_unit': 'g', 'fat_value': 48, 'fiber': 7, 'fiber_100g': 7, 'fiber_serving': 7, 'fiber_unit': 'g', 'fiber_value': 7, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 100, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 100, 'nova-group': 1, 'nova-group_100g': 1, 'nova-group_serving': 1, 'nutrition-score-fr': -8, 'nutrition-score-fr_100g': -8, 'proteins': 28, 'proteins_100g': 28, 'proteins_serving': 28, 'proteins_unit': 'g', 'proteins_value': 28, 'salt': 0.05, 'salt_100g': 0.05, 'salt_serving': 0.05, 'salt_unit': 'g', 'salt_value': 0.05, 'saturated-fat': 5.8, 'saturated-fat_100g': 5.8, 'saturated-fat_serving': 5.8, 'saturated-fat_unit': 'g', 'saturated-fat_value': 5.8, 'sodium': 0.02, 'sodium_100g': 0.02, 'sodium_serving': 0.02, 'sodium_unit': 'g', 'sodium_value': 0.02, 'sugars': 6.2, 'sugars_100g': 6.2, 'sugars_serving': 6.2, 'sugars_unit': 'g', 'sugars_value': 6.2}",a,"en:france, en:reunion"
Sirop d'érable ambré goût riche,Maple joe,"Édulcorants, Sirops, Sirops simples, Sirops d'érable, Sirops d'érable ambrés",Pur sirop d'érable,unknown,2.0,a,250g - 190ml,7 g,"{'carbohydrates': 4.69, 'carbohydrates_100g': 67, 'carbohydrates_serving': 4.69, 'carbohydrates_unit': 'g', 'carbohydrates_value': 4.69, 'energy': 78, 'energy-kcal': 18.76, 'energy-kcal_100g': 268, 'energy-kcal_serving': 18.76, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 18.76, 'energy-kcal_value_computed': 18.76, 'energy_100g': 1110, 'energy_serving': 78, 'energy_unit': 'kcal', 'energy_value': 18.76, 'fat': 0, 'fat_100g': 0, 'fat_serving': 0, 'fat_unit': 'g', 'fat_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 2, 'nova-group_100g': 2, 'nova-group_serving': 2, 'proteins': 0, 'proteins_100g': 0, 'proteins_serving': 0, 'proteins_unit': 'g', 'proteins_value': 0}",unknown,"en:belgium, en:croatia, en:finland, en:france, en:italy, en:morocco, en:switzerland"
Tartines campagne 450g,La boulangere,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de campagne, Pain de mie de campagne",,c,4.0,unknown,450 g,37.5 g (1 tranche ( environ 37.5 g)),"{'carbohydrates': 43, 'carbohydrates_100g': 43, 'carbohydrates_serving': 16.1, 'carbohydrates_unit': 'g', 'carbohydrates_value': 43, 'carbon-footprint-from-known-ingredients_100g': 67.2, 'carbon-footprint-from-known-ingredients_product': 302, 'carbon-footprint-from-known-ingredients_serving': 25.2, 'energy': 1154, 'energy-kcal': 274, 'energy-kcal_100g': 274, 'energy-kcal_serving': 103, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 274, 'energy-kcal_value_computed': 273.9, 'energy-kj': 1154, 'energy-kj_100g': 1154, 'energy-kj_serving': 433, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1154, 'energy-kj_value_computed': 1154, 'energy_100g': 1154, 'energy_serving': 433, 'energy_unit': 'kJ', 'energy_value': 1154, 'fat': 6.5, 'fat_100g': 6.5, 'fat_serving': 2.44, 'fat_unit': 'g', 'fat_value': 6.5, 'fiber': 3.9, 'fiber_100g': 3.9, 'fiber_serving': 1.46, 'fiber_unit': 'g', 'fiber_value': 3.9, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 10.0333333333333, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 10.0333333333333, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 4, 'nutrition-score-fr_100g': 4, 'proteins': 8.9, 'proteins_100g': 8.9, 'proteins_serving': 3.34, 'proteins_unit': 'g', 'proteins_value': 8.9, 'salt': 1.2, 'salt_100g': 1.2, 'salt_serving': 0.45, 'salt_unit': 'g', 'salt_value': 1.2, 'saturated-fat': 0.5, 'saturated-fat_100g': 0.5, 'saturated-fat_serving': 0.188, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.5, 'sodium': 0.48, 'sodium_100g': 0.48, 'sodium_serving': 0.18, 'sodium_unit': 'g', 'sodium_value': 0.48, 'sugars': 2.6, 'sugars_100g': 2.6, 'sugars_serving': 0.975, 'sugars_unit': 'g', 'sugars_value': 2.6}",c,en:france
Nutella,Ferrero,"de:haselnusscremes, de:brotaufstriche, en:fruhstucke, en:haselnusscremes, de:nougatcremes, en:schoko-und-haselnussaufstriche, en:susse-brotaufstriche","sugar, palm oil, hazelnuts (13 %), low fat cocoa, skimmed milk powder (8,7%), emulsifier: lecithins ( soya ), vanillin,",e,4.0,e,750 g,15 g,"{'carbohydrates': 57.5, 'carbohydrates_100g': 57.5, 'carbohydrates_serving': 8.62, 'carbohydrates_unit': 'g', 'carbohydrates_value': 57.5, 'energy': 2252, 'energy-kcal': 539, 'energy-kcal_100g': 539, 'energy-kcal_serving': 80.8, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 539, 'energy-kcal_value_computed': 533.3, 'energy-kj': 2252, 'energy-kj_100g': 2252, 'energy-kj_serving': 338, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2252, 'energy-kj_value_computed': 2227.9, 'energy_100g': 2252, 'energy_serving': 338, 'energy_unit': 'kJ', 'energy_value': 2252, 'fat': 30.9, 'fat_100g': 30.9, 'fat_serving': 4.63, 'fat_unit': 'g', 'fat_value': 30.9, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 13, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 13, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 31, 'nutrition-score-fr_100g': 31, 'proteins': 6.3, 'proteins_100g': 6.3, 'proteins_serving': 0.945, 'proteins_unit': 'g', 'proteins_value': 6.3, 'salt': 0.107, 'salt_100g': 0.107, 'salt_serving': 0.016, 'salt_unit': 'g', 'salt_value': 0.107, 'saturated-fat': 10.6, 'saturated-fat_100g': 10.6, 'saturated-fat_serving': 1.59, 'saturated-fat_unit': 'g', 'saturated-fat_value': 10.6, 'sodium': 0.0428, 'sodium_100g': 0.0428, 'sodium_serving': 0.00642, 'sodium_unit': 'g', 'sodium_value': 0.0428, 'sugars': 56.3, 'sugars_100g': 56.3, 'sugars_serving': 8.44, 'sugars_unit': 'g', 'sugars_value': 56.3}",e,"en:croatia, en:france, en:germany, en:morocco, en:netherlands"
Muscly la force pour grandir,Jaouda,"fr:Muscly, en:fermented-dairy-desserts",,c,4.0,unknown,80 g,,"{'alcohol': 0, 'alcohol_100g': 0, 'alcohol_serving': 0, 'alcohol_unit': '% vol', 'alcohol_value': 0, 'calcium': 0.14, 'calcium_100g': 0.14, 'calcium_unit': 'g', 'calcium_value': 0.14, 'carbohydrates': 15.7, 'carbohydrates_100g': 15.7, 'carbohydrates_unit': 'g', 'carbohydrates_value': 15.7, 'energy': 674, 'energy-kcal': 161, 'energy-kcal_100g': 161, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 161, 'energy-kcal_value_computed': 160.7, 'energy-kj': 674, 'energy-kj_100g': 674, 'energy-kj_unit': 'kJ', 'energy-kj_value': 674, 'energy-kj_value_computed': 673.6, 'energy_100g': 674, 'energy_unit': 'kJ', 'energy_value': 674, 'fat': 7.5, 'fat_100g': 7.5, 'fat_unit': 'g', 'fat_value': 7.5, 'fiber': 0, 'fiber_100g': 0, 'fiber_unit': 'g', 'fiber_value': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 3, 'nutrition-score-fr_100g': 3, 'proteins': 7.6, 'proteins_100g': 7.6, 'proteins_unit': 'g', 'proteins_value': 7.6, 'salt': 0, 'salt_100g': 0, 'salt_unit': 'g', 'salt_value': 0, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0, 'sodium_100g': 0, 'sodium_unit': 'g', 'sodium_value': 0, 'sugars': 15.7, 'sugars_100g': 15.7, 'sugars_unit': 'g', 'sugars_value': 15.7}",c,en:morocco
Chocolat Noir 92% cacao,Dark Excellente,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates",,e,4.0,e,100 g,10g,"{'carbohydrates': 1.4, 'carbohydrates_100g': 14, 'carbohydrates_serving': 1.4, 'carbohydrates_unit': 'g', 'carbohydrates_value': 1.4, 'energy': 243, 'energy-kcal': 58, 'energy-kcal_100g': 580, 'energy-kcal_serving': 58, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 58, 'energy-kcal_value_computed': 55.7, 'energy_100g': 2430, 'energy_serving': 243, 'energy_unit': 'kcal', 'energy_value': 58, 'fat': 4.9, 'fat_100g': 49, 'fat_serving': 4.9, 'fat_unit': 'g', 'fat_value': 4.9, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 2.47916666666666, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 2.47916666666666, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 19, 'nutrition-score-fr_100g': 19, 'proteins': 1.5, 'proteins_100g': 15, 'proteins_serving': 1.5, 'proteins_unit': 'g', 'proteins_value': 1.5, 'salt': 0, 'salt_100g': 0, 'salt_serving': 0, 'salt_unit': 'g', 'salt_value': 0, 'saturated-fat': 3.3, 'saturated-fat_100g': 33, 'saturated-fat_serving': 3.3, 'saturated-fat_unit': 'g', 'saturated-fat_value': 3.3, 'sodium': 0, 'sodium_100g': 0, 'sodium_serving': 0, 'sodium_unit': 'g', 'sodium_value': 0, 'sugars': 1, 'sugars_100g': 10, 'sugars_serving': 1, 'sugars_unit': 'g', 'sugars_value': 1}",e,en:morocco
pain de mie grandes tranches spécial sandwich complet,"Maître Jean Pierre, Lidl","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Pains,Pains de mie,Pains complets,Pains de mie complet","61% farine de blé complet, eau, sucre, 3% farine de blé, huile de colza, sel, levure, farine de fève, arôme, alcool",b,4.0,b,750 g,"37,5 g","{'carbohydrates': 43, 'carbohydrates_100g': 43, 'carbohydrates_prepared_unit': 'g', 'carbohydrates_serving': 16.1, 'carbohydrates_unit': 'g', 'carbohydrates_value': 43, 'carbon-footprint-from-known-ingredients_100g': 73.2, 'carbon-footprint-from-known-ingredients_product': 549, 'carbon-footprint-from-known-ingredients_serving': 27.4, 'energy': 1089, 'energy-kcal': 258, 'energy-kcal_100g': 258, 'energy-kcal_prepared_unit': 'kcal', 'energy-kcal_serving': 96.8, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 258, 'energy-kcal_value_computed': 258.3, 'energy-kj': 1089, 'energy-kj_100g': 1089, 'energy-kj_prepared_unit': 'kJ', 'energy-kj_serving': 408, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1089, 'energy-kj_value_computed': 1089, 'energy_100g': 1089, 'energy_prepared_unit': 'kJ', 'energy_serving': 408, 'energy_unit': 'kJ', 'energy_value': 1089, 'fat': 4.5, 'fat_100g': 4.5, 'fat_prepared_unit': 'g', 'fat_serving': 1.69, 'fat_unit': 'g', 'fat_value': 4.5, 'fiber': 6.3, 'fiber_100g': 6.3, 'fiber_prepared_unit': 'g', 'fiber_serving': 2.36, 'fiber_unit': 'g', 'fiber_value': 6.3, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 4.5, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 4.5, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 2, 'nutrition-score-fr_100g': 2, 'proteins': 8.3, 'proteins_100g': 8.3, 'proteins_prepared_unit': 'g', 'proteins_serving': 3.11, 'proteins_unit': 'g', 'proteins_value': 8.3, 'salt': 1, 'salt_100g': 1, 'salt_prepared_unit': 'g', 'salt_serving': 0.375, 'salt_unit': 'g', 'salt_value': 1, 'saturated-fat': 0.5, 'saturated-fat_100g': 0.5, 'saturated-fat_prepared_unit': 'g', 'saturated-fat_serving': 0.188, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.5, 'sodium': 0.4, 'sodium_100g': 0.4, 'sodium_prepared_unit': 'g', 'sodium_serving': 0.15, 'sodium_unit': 'g', 'sodium_value': 0.4, 'sugars': 5, 'sugars_100g': 5, 'sugars_prepared_unit': 'g', 'sugars_serving': 1.88, 'sugars_unit': 'g', 'sugars_value': 5}",b,en:france
